ID,NAZIV,ADRESA,ID_GRAD
60000,DIAKONIA,VINOGRADSKA 17,30000
60002,JOUKHADAR,ILICA 229,30000
60005,MANDIS-PHARM,PETROVA 114,30000
60006,PABLO,HEINZELOVA 28,30000
60007,PROPHARMA,ILICA 139 A,30000
60008,ŠĆURIC,STUBIČKA 75,30004
60009,MEDIKOR,ZAGREBAČKA 6,30009
60010,LJEKARNE KENFELJ,ZAGREBAČKA 1,30013
60011,LJEKARNE ZG ŽUPANIJE,GAJEVA 37,30016
60012,BINGULA,VIDRIĆEVA 6,30018
61000,LJEKARNA DUBROVNIK,PLACA 30,31000
61001,LJEKARNA KORČULA,TRG KRALJA TOMISLAVA BB,31005
62000,LJEKARNE SUŠAC 2,GUNDULIĆEVA 8,32000
62002,VAŠE ZDRAVLJE,BRNAŠKA 4,32005
62003,SDŽ,VUKOVARSKA 23,32011
62004,SDŽ,KAČIĆEV TRG 10,32013
62005,ILDA RADONIĆ,SOLINE 357/A,32021
63000,LJEKARNE RADIN 2,SOPALJSKA 2,33000
63001,VEDRANA SKRAČIĆ,HRVATSKIH VLADARA 48A,33007
63002,OB KNIN,S. SURONJE 12,33008
64000,FARMACIA,STJEPANA RADIĆA 5,34000
64001,LJEKARNE ZADAR,ULICA BORELLI 1,34000
64002,LJEKARNE VANJAK,DR.FRANJE TUĐMANA 30/B,34002
64003,INES KAPOVIĆ,BORISA KRNČEVIĆA 56,34008
64004,LJEKARNE BUTKOVIĆ,STJEPANA RADIĆA 2,34011
65000,LJEKARNE TRIPOLSKI,SRIJEMSKA 155,35000
65001,LIJEK,PAVIČEVA 24,35002
65002,LJEKARNE SOKAČ OSMAK 2,ZAGREBAČKA 3,35004
66000,OB VUKOVAR,BOLNIČKA 5,36000
66002,LJEKARNE TRIPOLSKI,HRVATSKIH ŽRTAVA 18,36001
66003,JOUKHADAR,TRG ŽRTAVA DOMOVINSKOG RATA 1,36002
66004,DZ VINKOVCI,MATIJE GUPCA 2,36003
67000,DZ VIROVITIČKO-PODRAVSKE ŽUPANIJE,GAJEVA 6,37000
67001,RAJKA MEDVED MAJSTOROVIĆ,BRAĆE RADIĆA 3,37001
67002,DZ VIROVITIČKO-PODRAVSKE ŽUPANIJE,KRALJA TOMISLAVA 2,37002
